date,open,high,low,volume,name,daily_return_in_perc,rsi,obv,close
20-05-2015,130,130.98,129.34,36454932,AAPL,-0.007688168,64.50945626,1543095542,130.06
21-05-2015,130.07,131.63,129.83,39730364,AAPL,1.022604952,58.44290657,1582825906,131.39
22-05-2015,131.6,132.97,131.4,45595972,AAPL,0.875256869,62.50814332,1628421878,132.54
26-05-2015,132.6,132.91,129.12,70697560,AAPL,-2.203108496,62.42680547,1557724318,129.62
27-05-2015,130.34,132.26,130.05,45833246,AAPL,1.870853263,70.68509262,1603557564,132.045
28-05-2015,131.86,131.95,131.1,30733309,AAPL,-0.200689159,69.15393655,1572824255,131.78
29-05-2015,131.23,131.45,129.9,50884452,AAPL,-1.138260738,58.23019802,1521939803,130.28
01-06-2015,131.2,131.39,130.05,32112797,AAPL,0.195732269,63.94310288,1554052600,130.535
02-06-2015,129.86,130.655,129.32,33667627,AAPL,-0.440494886,63.43944864,1520384973,129.96
03-06-2015,130.66,130.94,129.9,30983542,AAPL,0.123114805,63.47540984,1551368515,130.12
04-06-2015,129.58,130.58,128.91,38450118,AAPL,-0.584076237,51.56847743,1512918397,129.36
05-06-2015,129.5,129.69,128.36,35626800,AAPL,-0.548855906,49.55882353,1477291597,128.65
08-06-2015,128.9,129.21,126.83,52674786,AAPL,-0.660707346,40.82885649,1424616811,127.8
09-06-2015,126.7,128.08,125.62,56075420,AAPL,-0.297339593,40.03009782,1368541391,127.42
10-06-2015,127.92,129.34,127.85,39087250,AAPL,1.145816983,45.9972863,1407628641,128.88
11-06-2015,129.18,130.18,128.475,35390887,AAPL,-0.225015518,39.7810219,1372237754,128.59
12-06-2015,128.185,128.33,127.11,36886246,AAPL,-1.104284937,30.78024338,1335351508,127.17
15-06-2015,126.1,127.24,125.71,43988946,AAPL,-0.196587245,38.05309735,1291362562,126.92
16-06-2015,127.03,127.85,126.37,31494131,AAPL,0.535770564,26.73992674,1322856693,127.6
17-06-2015,127.72,127.88,126.74,32918071,AAPL,-0.235109718,26.64233577,1289938622,127.3
18-06-2015,127.23,128.31,127.22,35407220,AAPL,0.455616654,36.15916955,1325345842,127.88
19-06-2015,127.71,127.82,126.4,54716887,AAPL,-1.00093838,29.70603404,1270628955,126.6
22-06-2015,127.49,128.06,127.08,34039345,AAPL,0.79778831,38.40078973,1304668300,127.61
23-06-2015,127.48,127.61,126.8792,30268863,AAPL,-0.454509835,35.35545024,1274399437,127.03
24-06-2015,127.21,129.8,127.12,55280855,AAPL,0.850192868,44.25022999,1329680292,128.11
25-06-2015,128.86,129.2,127.5,31938100,AAPL,-0.476153306,44.66109564,1297742192,127.5
26-06-2015,127.67,127.99,126.51,44066841,AAPL,-0.588235294,45.07966261,1253675351,126.75
29-06-2015,125.46,126.47,124.48,49161427,AAPL,-1.75147929,38.44924061,1204513924,124.53
30-06-2015,125.57,126.12,124.86,44370682,AAPL,0.718702321,35.53788196,1248884606,125.425
01-07-2015,126.9,126.94,125.99,30238811,AAPL,0.93681483,42.24473889,1279123417,126.6
02-07-2015,126.43,126.69,125.77,27210952,AAPL,-0.126382306,46.84528954,1251912465,126.44
06-07-2015,124.94,126.23,124.85,28060431,AAPL,-0.347991142,46.08843537,1223852034,126
07-07-2015,125.89,126.15,123.77,46946811,AAPL,-0.246031746,41.61545215,1176905223,125.69
